Time,GrassPopulation,PrarieDogPopulation
765.0,32.06867731520868,1.2507877628899362
766.0,32.274016469188304,1.253370431562281
767.0,32.48058921751838,1.2562147435345519
768.0,32.68839332728942,1.2593238407126417
769.0,32.89742626221896,1.2627010400468026
770.0,33.10768516988098,1.2663498380155218
771.0,33.319166868476685,1.2702739153116687
772.0,33.53186783312914,1.2744771417379106
773.0,33.74578418168347,1.2789635813186628
774.0,33.96091165999376,1.2837374976361018
775.0,34.17724562667708,1.2888033593980543
776.0,34.3947810373142,1.294165846245856
777.0,34.6135124280762,1.2998298548105656
778.0,34.83343389875486,1.3058005050262125
779.0,35.05453909517458,1.3120831467090674
780.0,35.27682119096217,1.318683366412221
781.0,35.500272868650484,1.3256069945650797
782.0,35.724886300090795,1.3328601129076976
783.0,35.95065312614797,1.3404490622301877
784.0,36.17756443565166,1.3483804504277799
785.0,36.4056107435758,1.3566611608824157
786.0,36.63478196841774,1.3652983611821035
787.0,36.865067408747464,1.3742995121895787
788.0,37.096455718896244,1.3836723774721462
789.0,37.328934883753284,1.3934250331049003
790.0,37.56249219263773,1.4035658778598417
791.0,37.79711421221252,1.4141036437937233
792.0,38.03278675840551,1.4250474072477608
793.0,38.269494867302136,1.4364066002726399
794.0,38.5072227649732,1.4481910224925374
795.0,38.74595383619978,1.4604108534221345
796.0,38.98567059205678,1.4730766652508531
797.0,39.22635463631518,1.486199436108769
798.0,39.4679866306223,1.4997905638288538
799.0,39.71054625841815,1.51386188022037
800.0,39.95401218754517,1.5284256658683693
801.0,40.19836203150755,1.5434946654743429
802.0,40.44357230933544,1.5590821037531164
803.0,40.689618404008456,1.5752017019010711
804.0,40.93647451939215,1.5918676946507107
805.0,41.18411363564019,1.6090948479264549
806.0,41.43250746301444,1.626898477116333
807.0,41.68162639407444,1.6452944659739503
808.0,41.93143945418734,1.6642992861647121
809.0,42.18191425030886,1.6839300174697898
810.0,42.43301691798574,1.7042043686606985
811.0,42.684712066529876,1.7251406990566043
812.0,42.93696272231449,1.7467580407755876
813.0,43.18973027014295,1.7690761216900304
814.0,43.442974392641304,1.7921153890950636
815.0,43.69665300762627,1.815897034097576
816.0,43.9507222034015,1.8404430167316381
817.0,44.2051361719362,1.865776091804314
818.0,44.45984713988181,1.891919835473676
819.0,44.714805297384366,1.9188986725584125
820.0,44.969958724652884,1.9467379045756672
821.0,45.225253316246594,1.975463738500658
822.0,45.4806327030476,2.0051033162381615
823.0,45.736038171889184,2.0356847447920794
824.0,45.99140858281487,2.0672371271149848
825.0,46.24668028394819,2.0997905936147583
826.0,46.50178702395949,2.133376334290103
827.0,46.75665986212253,2.168026631460847
828.0,47.01122707596153,2.203774893052448
829.0,47.265414066497684,2.2406556863869604
830.0,47.5191432611141,2.2787047724248626
831.0,47.77233401406857,2.317959140393506
832.0,48.02490250469579,2.3584570427284928
833.0,48.2767616333539,2.4002380302439543
834.0,48.52782091518487,2.4433429874364077
835.0,48.77798637177461,2.4878141678145838
836.0,49.02716042081663,2.533695229134236
837.0,49.275241763902635,2.581031268402424
838.0,49.52212527258528,2.629868856500033
839.0,49.767701872881624,2.6802560722542452
840.0,50.01185842841198,2.732242535774314
841.0,50.254477622396756,2.7858794408441576
842.0,50.495437838764396,2.841219586143959
843.0,50.73461304265706,2.898317405050072
844.0,50.971872660656096,2.9572289937379854
845.0,51.20708146108863,3.018012137286859
846.0,51.440099434818094,3.0807263334561537
847.0,51.67078167696678,3.145432813775072
848.0,51.89897827006665,3.2121945615538823
849.0,52.12453416918642,3.281076326392697
850.0,52.3472890896383,3.3521446347278707
851.0,52.567077397926575,3.425467795918937
852.0,52.78372800666279,3.501115903339885
853.0,52.99706427423888,3.5791608298976847
854.0,53.20690391011939,3.659676217358352
855.0,53.41305888668812,3.7427374588166504
856.0,53.61533535866193,3.8284216735998737
857.0,53.81353359116561,3.916807673849255
858.0,54.00744789764638,4.007975921974672
859.0,54.19686658889429,4.10200847812971
860.0,54.38157193452538,4.1989889368052316
861.0,54.561340138377744,4.299002351590784
862.0,54.73594132936548,4.402135147104942
863.0,54.90513956943238,4.508475017048696
864.0,55.06869288034408,4.618110807290848
865.0,55.226353291154716,4.731132382851946
866.0,55.377866908279756,4.847630477614365
867.0,55.522974010200606,4.967696525551834
868.0,55.661409168916286,5.091422472243042
869.0,55.79290140034268,5.218900565412231
870.0,55.917174345937795,5.350223123226285
871.0,56.03394648790116,5.485482279074187
872.0,56.14293140035416,5.624769701562592
873.0,56.243838038953925,5.7681762884822865
874.0,56.33637107142364,5.9157918335365105
875.0,56.42023125149395,6.067704664675367
876.0,56.49511583874108,6.2240012529531015
877.0,56.5607190667736,6.384765790918945
878.0,56.616732662158626,6.550079739669879
879.0,56.662846416385854,6.7200213438372645
